"No.","Time","Source","Destination","Protocol","Length","Info"
"15799","33.424698","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63612  >  1058 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15800","33.424702","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63596  >  7004 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15801","33.424703","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63604  >  903 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15802","33.424704","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63607  >  687 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15803","33.424706","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63619  >  524 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15804","33.424706","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63590  >  9876 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15805","33.424712","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63621  >  1060 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15806","33.424712","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63629  >  1875 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15807","33.424713","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63620  >  366 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15808","33.424714","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63627  >  32783 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15809","33.424714","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63608  >  497 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15810","33.424719","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63601  >  902 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15811","33.424719","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63595  >  5087 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15812","33.424720","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63622  >  5101 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15813","33.424721","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63611  >  1503 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15814","33.424727","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63597  >  9878 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15815","33.424729","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63623  >  8402 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15816","33.424730","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63617  >  2065 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15817","33.424734","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63606  >  146 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15818","33.424734","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63614  >  8083 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15819","33.424743","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63626  >  9943 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15820","33.424745","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63609  >  6699 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15821","33.424757","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63625  >  255 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15822","33.424758","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63613  >  3404 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15823","33.424765","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63615  >  646 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15835","33.455412","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62671  >  16993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15836","33.455412","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62673  >  4126 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15837","33.455419","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62665  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15838","33.455420","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63630  >  2103 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15839","33.455421","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62661  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15840","33.455424","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63634  >  1218 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15841","33.455426","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62674  >  2492 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15842","33.455426","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62658  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15843","33.455428","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62679  >  14441 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15844","33.455429","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63638  >  9500 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15845","33.455429","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62659  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15846","33.455429","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62660  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15847","33.455430","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62664  >  111 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15848","33.455430","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62663  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15849","33.455432","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63632  >  31337 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15850","33.455434","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62672  >  6669 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15851","33.455434","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62678  >  1141 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15852","33.455434","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63631  >  49161 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15853","33.455434","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62669  >  6346 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15854","33.455438","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62675  >  32776 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15855","33.455441","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63633  >  7 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15856","33.455449","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63645  >  1049 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15857","33.455451","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63635  >  4900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15858","33.455452","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62677  >  2605 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15859","33.455455","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62668  >  6156 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15860","33.455457","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63637  >  1036 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15861","33.455458","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62670  >  5555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15862","33.455459","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62667  >  1000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15863","33.455460","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63641  >  13722 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15864","33.455461","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63639  >  512 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15865","33.455464","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63646  >  10215 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15866","33.455466","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63642  >  106 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15867","33.455466","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63636  >  65129 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15868","33.455467","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62666  >  1043 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15869","33.455470","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63644  >  513 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15870","33.455471","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63643  >  6901 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15871","33.455476","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63640  >  25734 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15872","33.455478","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62676  >  7025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15877","33.470616","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63648  >  8200 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15878","33.470617","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63647  >  2135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15879","33.470617","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63651  >  5999 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15880","33.470624","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63649  >  10180 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15881","33.470629","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63650  >  2718 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15897","33.516567","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63653  >  3689 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15898","33.516568","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62682  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15899","33.516568","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62687  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15900","33.516570","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63660  >  800 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15901","33.516570","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63666  >  389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15902","33.516570","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63656  >  3551 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15903","33.516573","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63662  >  9071 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15904","33.516575","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63652  >  1055 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15905","33.516575","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62684  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15906","33.516576","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62688  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15907","33.516580","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63654  >  37 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15908","33.516580","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63657  >  5440 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15909","33.516580","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62685  >  110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15910","33.516580","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62681  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15911","33.516582","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62683  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15912","33.516581","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62680  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15913","33.516585","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63674  >  711 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15914","33.516588","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63663  >  1082 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15915","33.516592","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62686  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15916","33.516593","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63658  >  34572 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15917","33.516595","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63670  >  555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15918","33.516599","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63665  >  5003 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15919","33.516600","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63667  >  50001 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15920","33.516605","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63669  >  6007 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15921","33.516609","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63655  >  1782 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15922","33.516616","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63664  >  19842 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15923","33.516617","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63668  >  52848 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15924","33.516619","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63659  >  311 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15925","33.516621","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63661  >  3007 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15926","33.516623","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63671  >  2638 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15927","33.516626","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63672  >  6002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15928","33.516637","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63673  >  2013 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15936","33.531538","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63675  >  1287 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15937","33.531538","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63677  >  32 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15938","33.531538","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63681  >  1028 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15939","33.531538","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63680  >  2119 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15940","33.531538","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63690  >  1494 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15941","33.531538","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63684  >  1038 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15942","33.531538","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63678  >  1151 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15943","33.531538","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63683  >  2047 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15944","33.531540","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63676  >  9290 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15945","33.531540","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63685  >  44442 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15946","33.531565","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63697  >  3986 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15947","33.531567","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63686  >  49157 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15948","33.531571","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63687  >  4662 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15949","33.531572","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63691  >  10616 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15950","33.531572","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63689  >  15742 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15951","33.531572","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63682  >  1971 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15952","33.531573","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63699  >  32784 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15953","33.531575","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63696  >  1123 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15954","33.531575","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63679  >  2604 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15955","33.531576","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63693  >  1296 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15956","33.531576","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63702  >  3784 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15957","33.531578","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63700  >  6100 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15958","33.531578","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63688  >  65389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15959","33.531583","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63703  >  13782 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15960","33.531586","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63701  >  1233 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15961","33.531586","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63704  >  5815 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15962","33.531587","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63692  >  6788 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15963","33.531589","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63694  >  63331 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15964","33.531620","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63695  >  9003 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15965","33.531625","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 63698  >  57797 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15974","33.546719","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62710  >  111 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15975","33.546720","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62702  >  6669 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15976","33.546720","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62695  >  14441 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15977","33.546720","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62692  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15978","33.546722","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62689  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15979","33.546726","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62700  >  2492 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15980","33.546727","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62704  >  5555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15981","33.546728","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62691  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15982","33.546729","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62699  >  32776 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15983","33.546731","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62703  >  16993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15984","33.546737","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62698  >  7025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15985","33.546739","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62697  >  2605 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15986","33.546743","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62706  >  6156 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15987","33.546743","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62693  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15988","33.546751","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62701  >  4126 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15989","33.546751","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62705  >  6346 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15990","33.546752","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62694  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15991","33.546756","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62709  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15992","33.546757","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62707  >  1000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"15993","33.546757","192.168.100.6","202.28.77.115","TCP","66","[TCP Retransmission] 62708  >  1043 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
