"No.","Time","Source","Destination","Protocol","Length","Info"
"12424","30.393337","192.168.100.6","202.28.77.115","TCP","66","62648  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12425","30.393681","192.168.100.6","202.28.77.115","TCP","66","62649  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12426","30.393976","192.168.100.6","202.28.77.115","TCP","66","62650  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12427","30.394249","192.168.100.6","202.28.77.115","TCP","66","62651  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12428","30.394533","192.168.100.6","202.28.77.115","TCP","66","62652  >  110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12429","30.394792","192.168.100.6","202.28.77.115","TCP","66","62653  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12430","30.395061","192.168.100.6","202.28.77.115","TCP","66","62654  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12431","30.395364","192.168.100.6","202.28.77.115","TCP","66","62655  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12432","30.395625","192.168.100.6","202.28.77.115","TCP","66","62656  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12433","30.395886","192.168.100.6","202.28.77.115","TCP","66","62657  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12445","30.426727","202.28.77.115","192.168.100.6","TCP","66","80  >  62650 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM WS=128"
"12446","30.426843","192.168.100.6","202.28.77.115","TCP","54","62650  >  80 [ACK] Seq=1 Ack=1 Win=262400 Len=0"
"12447","30.427156","192.168.100.6","202.28.77.115","TCP","54","62650  >  80 [FIN, ACK] Seq=1 Ack=1 Win=262400 Len=0"
"12448","30.430214","192.168.100.6","202.28.77.115","TCP","66","62658  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12449","30.430509","192.168.100.6","202.28.77.115","TCP","66","62659  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12450","30.430791","192.168.100.6","202.28.77.115","TCP","66","62660  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12451","30.431256","192.168.100.6","202.28.77.115","TCP","66","62661  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12452","30.431533","192.168.100.6","202.28.77.115","TCP","66","62662  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12453","30.431799","192.168.100.6","202.28.77.115","TCP","66","62663  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12454","30.432066","192.168.100.6","202.28.77.115","TCP","66","62664  >  111 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12455","30.432329","192.168.100.6","202.28.77.115","TCP","66","62665  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12456","30.432587","192.168.100.6","202.28.77.115","TCP","66","62666  >  1043 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12457","30.432861","192.168.100.6","202.28.77.115","TCP","66","62667  >  1000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12458","30.433141","192.168.100.6","202.28.77.115","TCP","66","62668  >  6156 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12459","30.433469","192.168.100.6","202.28.77.115","TCP","66","62669  >  6346 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12461","30.433911","192.168.100.6","202.28.77.115","TCP","66","62670  >  5555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12462","30.434195","192.168.100.6","202.28.77.115","TCP","66","62671  >  16993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12463","30.434473","192.168.100.6","202.28.77.115","TCP","66","62672  >  6669 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12464","30.434733","192.168.100.6","202.28.77.115","TCP","66","62673  >  4126 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12465","30.434998","192.168.100.6","202.28.77.115","TCP","66","62674  >  2492 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12466","30.435266","192.168.100.6","202.28.77.115","TCP","66","62675  >  32776 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12467","30.435578","192.168.100.6","202.28.77.115","TCP","66","62676  >  7025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12468","30.435844","192.168.100.6","202.28.77.115","TCP","66","62677  >  2605 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12469","30.436108","192.168.100.6","202.28.77.115","TCP","66","62678  >  1141 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12470","30.436376","192.168.100.6","202.28.77.115","TCP","66","62679  >  14441 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12471","30.436553","61.19.60.34","192.168.100.6","ICMP","110","Destination unreachable (Communication administratively filtered)"
"12479","30.459426","202.28.77.115","192.168.100.6","TCP","60","80  >  62650 [ACK] Seq=1 Ack=2 Win=1174784 Len=0"
"12480","30.459701","202.28.77.115","192.168.100.6","TCP","60","80  >  62650 [FIN, ACK] Seq=1 Ack=2 Win=1174784 Len=0"
"12481","30.459743","192.168.100.6","202.28.77.115","TCP","54","62650  >  80 [ACK] Seq=2 Ack=2 Win=262400 Len=0"
"12482","30.462522","202.28.77.115","192.168.100.6","TCP","60","443  >  62662 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12495","30.492214","202.28.77.115","192.168.100.6","TCP","60","80  >  62650 [RST] Seq=2 Win=0 Len=0"
"12499","30.493656","192.168.100.6","202.28.77.115","TCP","66","62680  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12500","30.493950","192.168.100.6","202.28.77.115","TCP","66","62681  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12501","30.494236","192.168.100.6","202.28.77.115","TCP","66","62682  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12502","30.494511","192.168.100.6","202.28.77.115","TCP","66","62683  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12503","30.494777","192.168.100.6","202.28.77.115","TCP","66","62684  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12504","30.495039","192.168.100.6","202.28.77.115","TCP","66","62685  >  110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12505","30.495351","192.168.100.6","202.28.77.115","TCP","66","62686  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12506","30.495669","192.168.100.6","202.28.77.115","TCP","66","62687  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12507","30.495945","192.168.100.6","202.28.77.115","TCP","66","62688  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12520","30.530456","192.168.100.6","202.28.77.115","TCP","66","62689  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12521","30.530755","192.168.100.6","202.28.77.115","TCP","66","62690  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12522","30.531288","192.168.100.6","202.28.77.115","TCP","66","62691  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12523","30.531574","192.168.100.6","202.28.77.115","TCP","66","62692  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12524","30.531842","192.168.100.6","202.28.77.115","TCP","66","62693  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12525","30.532114","192.168.100.6","202.28.77.115","TCP","66","62694  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12526","30.533280","192.168.100.6","202.28.77.115","TCP","66","62695  >  14441 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12527","30.533564","192.168.100.6","202.28.77.115","TCP","66","62696  >  1141 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12529","30.533875","192.168.100.6","202.28.77.115","TCP","66","62697  >  2605 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12530","30.534146","192.168.100.6","202.28.77.115","TCP","66","62698  >  7025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12531","30.534464","192.168.100.6","202.28.77.115","TCP","66","62699  >  32776 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12532","30.534737","192.168.100.6","202.28.77.115","TCP","66","62700  >  2492 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
